N,Run,NativeTime(s),Wasm3Time(s)
50,1,0.00,0.02
50,2,0.00,0.01
50,3,0.00,0.01
50,4,0.00,0.01
50,5,0.00,0.01
100,1,0.00,0.11
100,2,0.00,0.11
100,3,0.00,0.12
100,4,0.00,0.11
100,5,0.00,0.11
200,1,0.02,1.20
200,2,0.02,0.90
200,3,0.02,0.91
200,4,0.02,0.93
200,5,0.02,0.91
300,1,0.08,3.06
300,2,0.08,2.98
300,3,0.08,3.01
300,4,0.08,3.05
300,5,0.08,3.12
400,1,0.19,7.18
400,2,0.20,7.37
400,3,0.20,7.29
400,4,0.23,7.20
400,5,0.20,7.17
500,1,0.40,14.06
500,2,0.40,13.86
500,3,0.39,13.98
500,4,0.39,14.32
500,5,0.39,15.28
